NXST_FLOW reply (xid=0x4):
 cookie=0x0, duration=3.087s, table=0, n_packets=5, n_bytes=439, idle_timeout=10, hard_timeout=30, idle_age=3, priority=65535,tcp,in_port=8,vlan_tci=0x0000,dl_src=00:00:00:00:00:0a,dl_dst=00:00:00:00:00:07,nw_src=10.0.0.10,nw_dst=10.0.0.7,nw_tos=0,tp_src=8000,tp_dst=57162 actions=output:1
 cookie=0x0, duration=8.315s, table=0, n_packets=7, n_bytes=566, idle_timeout=10, hard_timeout=30, idle_age=8, priority=65535,tcp,in_port=5,vlan_tci=0x0000,dl_src=00:00:00:00:00:01,dl_dst=00:00:00:00:00:07,nw_src=10.0.0.1,nw_dst=10.0.0.7,nw_tos=0,tp_src=48358,tp_dst=8000 actions=output:1
 cookie=0x0, duration=1.048s, table=0, n_packets=7, n_bytes=568, idle_timeout=10, hard_timeout=30, idle_age=0, priority=65535,tcp,in_port=1,vlan_tci=0x0000,dl_src=00:00:00:00:00:07,dl_dst=00:00:00:00:00:0a,nw_src=10.0.0.7,nw_dst=10.0.0.10,nw_tos=0,tp_src=57170,tp_dst=8000 actions=output:8
 cookie=0x0, duration=7.252s, table=0, n_packets=7, n_bytes=566, idle_timeout=10, hard_timeout=30, idle_age=7, priority=65535,tcp,in_port=5,vlan_tci=0x0000,dl_src=00:00:00:00:00:01,dl_dst=00:00:00:00:00:07,nw_src=10.0.0.1,nw_dst=10.0.0.7,nw_tos=0,tp_src=48362,tp_dst=8000 actions=output:1
 cookie=0x0, duration=1.011s, table=0, n_packets=5, n_bytes=439, idle_timeout=10, hard_timeout=30, idle_age=0, priority=65535,tcp,in_port=8,vlan_tci=0x0000,dl_src=00:00:00:00:00:0a,dl_dst=00:00:00:00:00:07,nw_src=10.0.0.10,nw_dst=10.0.0.7,nw_tos=0,tp_src=8000,tp_dst=57170 actions=output:1
 cookie=0x0, duration=3.138s, table=0, n_packets=5, n_bytes=439, idle_timeout=10, hard_timeout=30, idle_age=3, priority=65535,tcp,in_port=1,vlan_tci=0x0000,dl_src=00:00:00:00:00:07,dl_dst=00:00:00:00:00:01,nw_src=10.0.0.7,nw_dst=10.0.0.1,nw_tos=0,tp_src=8000,tp_dst=48378 actions=output:5
 cookie=0x0, duration=0.042s, table=0, n_packets=5, n_bytes=439, idle_timeout=10, hard_timeout=30, idle_age=0, priority=65535,tcp,in_port=1,vlan_tci=0x0000,dl_src=00:00:00:00:00:07,dl_dst=00:00:00:00:00:01,nw_src=10.0.0.7,nw_dst=10.0.0.1,nw_tos=0,tp_src=8000,tp_dst=48390 actions=output:5
 cookie=0x0, duration=3.122s, table=0, n_packets=7, n_bytes=568, idle_timeout=10, hard_timeout=30, idle_age=3, priority=65535,tcp,in_port=1,vlan_tci=0x0000,dl_src=00:00:00:00:00:07,dl_dst=00:00:00:00:00:0a,nw_src=10.0.0.7,nw_dst=10.0.0.10,nw_tos=0,tp_src=57162,tp_dst=8000 actions=output:8
 cookie=0x0, duration=6.226s, table=0, n_packets=7, n_bytes=566, idle_timeout=10, hard_timeout=30, idle_age=6, priority=65535,tcp,in_port=5,vlan_tci=0x0000,dl_src=00:00:00:00:00:01,dl_dst=00:00:00:00:00:07,nw_src=10.0.0.1,nw_dst=10.0.0.7,nw_tos=0,tp_src=48366,tp_dst=8000 actions=output:1
 cookie=0x0, duration=9.287s, table=0, n_packets=5, n_bytes=439, idle_timeout=10, hard_timeout=30, idle_age=9, priority=65535,tcp,in_port=8,vlan_tci=0x0000,dl_src=00:00:00:00:00:0a,dl_dst=00:00:00:00:00:07,nw_src=10.0.0.10,nw_dst=10.0.0.7,nw_tos=0,tp_src=8000,tp_dst=57138 actions=output:1
 cookie=0x0, duration=9.335s, table=0, n_packets=7, n_bytes=566, idle_timeout=10, hard_timeout=30, idle_age=9, priority=65535,tcp,in_port=5,vlan_tci=0x0000,dl_src=00:00:00:00:00:01,dl_dst=00:00:00:00:00:07,nw_src=10.0.0.1,nw_dst=10.0.0.7,nw_tos=0,tp_src=48354,tp_dst=8000 actions=output:1
 cookie=0x0, duration=10.356s, table=0, n_packets=7, n_bytes=566, idle_timeout=10, hard_timeout=30, idle_age=10, priority=65535,tcp,in_port=5,vlan_tci=0x0000,dl_src=00:00:00:00:00:01,dl_dst=00:00:00:00:00:07,nw_src=10.0.0.1,nw_dst=10.0.0.7,nw_tos=0,tp_src=48350,tp_dst=8000 actions=output:1
 cookie=0x0, duration=2.068s, table=0, n_packets=7, n_bytes=568, idle_timeout=10, hard_timeout=30, idle_age=2, priority=65535,tcp,in_port=1,vlan_tci=0x0000,dl_src=00:00:00:00:00:07,dl_dst=00:00:00:00:00:0a,nw_src=10.0.0.7,nw_dst=10.0.0.10,nw_tos=0,tp_src=57166,tp_dst=8000 actions=output:8
 cookie=0x0, duration=0.029s, table=0, n_packets=0, n_bytes=0, idle_timeout=10, hard_timeout=30, idle_age=0, priority=65535,tcp,in_port=1,vlan_tci=0x0000,dl_src=00:00:00:00:00:07,dl_dst=00:00:00:00:00:0a,nw_src=10.0.0.7,nw_dst=10.0.0.10,nw_tos=0,tp_src=57174,tp_dst=8000 actions=output:8
